общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Станция метро,Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,URL
16,12,?,6/18,"2,5",2023,Бухарестская,4,34000,апартаменты-студия,?,?,?,?,1,1,1,?,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6225526135977337523/;
40,?,?,2/9,3,2019,Площадь Восстания,9,86000,2-комнатные апартаменты,Отделка — дизайнерский ремонт,раздельный,1,1,1,1,1,1,1,1,1,Застройщик RBI,1,Кирпично-монолитное здание,?,1,1,?,?,?,?,?,1,?,1,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1659416545269388289/;
50,"40,3","4,7",5/6,"2,8",1899,Чкаловская,6,90000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,1,?,?,1,Кирпичное здание,6,1,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/390625256862500353/;
60,?,14,4/11,?,?,Московские ворота,6,79000,2-комнатная квартира,Отделка — евроремонт,раздельный,1,?,1,1,1,1,1,1,?,Застройщик Группа «Эталон»,1,?,?,1,1,?,241,?,?,?,1,?,1,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1866168802349417217/;
25,15,?,22/25,"2,75",2011,Дунайская,9,25000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,?,1,1,1,1,1,?,?,?,1,Монолитное здание,9,1,1,1,?,1,?,?,?,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3937197972320466689/;
12,11,?,4/4,"2,5",2020,Площадь Восстания,8,26000,квартира-студия,Отделка — косметический ремонт,?,?,?,1,1,?,?,?,?,1,?,?,?,?,1,?,1,?,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/9031952845141231104/;
36,20,8,8/12,"2,5",1974,Академическая,9,30000,1-комнатная квартира,Отделка — косметический ремонт,?,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,1,1,1,1,97,1,?,?,?,1,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4471907011169510268/;
29,16,7,8/9,"2,6",1972,Проспект Славы,8,30000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,?,1,?,1,Панельное здание,8,1,1,1,287,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/7980782498463222785/;
17,?,?,1/5,"3,08",1906,Площадь Александра Невского,7,27990,квартира-студия,Отделка — евроремонт,совмещённый,?,?,1,1,?,1,1,?,?,?,1,?,?,?,?,1,7,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5025424824741970945/;
380,265,38,4/5,"3,3",1910,Петроградская,6,400000,7-комнатная квартира,Отделка — дизайнерский ремонт,?,?,?,1,1,?,1,1,1,1,?,1,Кирпичное здание,21,1,?,1,?,1,?,?,1,?,1,?,?,1,1,?,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/8299957650117013512/;
23,18,?,7/16,"2,6",2024,Московские ворота,5,65000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,1,Застройщик RBI,?,Монолитное здание,?,1,1,1,?,?,?,?,1,1,1,1,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4074351191125290496/;
67,35,15,7/19,?,?,Фрунзенская,9,135900,2-комнатная квартира,Отделка — евроремонт,совмещённый,1,?,?,?,?,?,?,1,?,Застройщик Л1 cтроительная компания №1,?,Кирпичное здание,?,?,?,1,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672997536715/;
87,?,?,3/5,?,1902,Спортивная,8,93000,3-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,?,?,1,?,1,1,1,1,?,1,Кирпичное здание,?,?,?,1,?,?,1,?,?,1,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7191010299047292640/;
"26,5",?,?,5/16,"2,65",2012,Гражданский проспект,9,29000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,?,Застройщик Л1 cтроительная компания №1,1,Кирпичное здание,3,1,1,1,300,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7902043283435978240/;
35,?,?,6/11,"2,7",2023,Лиговский Проспект,6,71500,1-комнатная квартира,Отделка — евроремонт,совмещённый,1,1,1,1,?,1,1,?,1,Застройщик АртИК,1,?,?,1,?,1,?,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5978136791433141131/;
82,45,20,5/25,"2,74",?,Фрунзенская,8,80000,3-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,1,?,1,1,1,1,1,?,?,Застройщик Лидер Групп,1,Кирпичное здание,6,1,1,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665109159/;
"34,6",15,9,9/12,"2,5",1985,Приморская,4,35000,1-комнатная квартира,Отделка — косметический ремонт,?,?,?,1,1,1,1,1,?,?,?,1,Монолитное здание,21,1,1,1,?,?,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4471907011169512095/;
23,?,?,17/21,"2,75",2016,Девяткино,8,26000,квартира-студия,Отделка — евроремонт,совмещённый,1,?,1,1,1,1,1,?,?,Застройщик ГК Полис,1,?,4,1,1,1,1128,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5145891335106146816/;
"75,8",25,"24,1",3/7,3,1913,Лиговский Проспект,7,110000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,?,1,1,1,1,?,1,Кирпичное здание,?,1,?,1,94,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8299957562253078633/;
27,?,?,10/16,3,2022,Фрунзенская,4,48000,квартира-студия,Отделка — евроремонт,совмещённый,1,1,1,1,1,1,1,?,?,Застройщик Группа Аквилон,1,Кирпично-монолитное здание,?,1,1,1,?,?,?,?,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6973717003452563456/;
37,?,?,3/6,?,?,Балтийская,9,70000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,?,1,1,1,?,?,1,?,?,1,?,1,?,?,1,1,1,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3459739460038386064/;
"22,2",?,?,2/6,"3,2",1913,Василеостровская,8,49500,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,?,1,?,1,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2997502802019043072/;
23,20,?,8/18,"2,5",2023,Бухарестская,4,42000,апартаменты-студия,?,?,?,?,1,1,1,1,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5227616976259142194/;
29,20,?,5/17,"2,7",2009,Звёздная,8,33000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,1,1,1,?,1,1,?,?,?,1,Кирпично-монолитное здание,3,1,1,1,640,1,1,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4309358180335719847/;
30,?,?,2/8,"2,75",2021,Площадь Александра Невского,6,64000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,?,Застройщик Yard Group,1,Монолитное здание,?,1,1,?,?,?,?,?,1,1,1,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7881758211789313793/;
15,8,?,1/5,"2,9",1914,Площадь Восстания,10,28000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,1,?,?,1,18,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4075577365869940224/;
45,34,7,4/7,"2,8",2010,Фрунзенская,9,69990,1-комнатная квартира,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,?,?,Застройщик Стрела,1,Кирпично-монолитное здание,?,1,?,1,207,1,?,?,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665169641/;
"43,4","27,7","5,8",5/5,"2,5",1960,Фрунзенская,7,49999,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,?,1,?,1,100,1,?,?,?,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1742244876214742272/;
21,?,?,1/4,?,1882,Лиговский Проспект,4,24990,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/159751193381280769/;
75,?,?,4/5,3,1852,Площадь Восстания,3,80000,3-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,4,1,?,1,?,1,?,?,?,?,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5225139113168378112/;
54,?,?,1/5,?,1933,Елизаровская,10,42000,2-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,?,1,1,?,1,1,1,1,?,1,Кирпичное здание,4,?,?,1,50,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2543208378372225830/;
45,35,10,5/5,3,1878,Маяковская,4,58000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,?,?,1,Кирпичное здание,4,1,?,1,?,1,?,?,?,?,1,?,?,?,?,1,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/3354411248631529728/;
48,32,6,2/5,"2,55",1965,Звёздная,9,32000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,?,1,?,?,Панельное здание,7,?,?,1,139,1,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4391432504057840641/;
60,41,9,4/9,"2,5",1971,Международная,9,37000,3-комнатная квартира,Отделка — косметический ремонт,раздельный,?,1,?,1,1,1,1,?,1,?,?,Кирпичное здание,8,1,1,1,?,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5995408594680729856/;
50,30,9,7/9,"2,6",1972,Проспект Большевиков,9,35000,2-комнатная квартира,?,?,?,?,?,1,1,1,1,?,1,?,1,Панельное здание,12,1,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1566516736039786497/;
34,?,?,6/13,"2,65",1987,Озерки,10,32000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,1,1,1,1,?,1,1,?,1,?,?,Панельное здание,4,1,1,1,319,1,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1988770635854287606/;
98,57,23,5/6,"4,1",1904,Чернышевская,2,165900,3-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,1,?,1,1,1,1,1,1,?,?,1,Кирпичное здание,6,1,?,1,52,1,1,1,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,1,?,?,?,?,https://realty.ya.ru/offer/6989123672998571773/;
75,50,15,3/4,?,1849,Маяковская,8,80000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,?,?,1,1,1,1,?,1,Кирпичное здание,6,?,?,1,53,1,?,?,?,?,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672995806117/;
71,40,12,3/6,3,1890,Владимирская,6,97000,3-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,?,1,?,1,?,1,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2076534929661199361/;
86,55,16,6/12,3,2015,Фрунзенская,6,85000,3-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,Застройщик Лемминкяйнен,1,Монолитное здание,12,?,1,1,757,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/174470283411755520/;
17,15,?,6/7,?,1917,Василеостровская,10,40000,квартира-студия,?,?,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,?,1,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2279179350382553856/;
20,16,?,2/8,"3,2",1860,Чернышевская,10,29000,квартира-студия,Отделка — дизайнерский ремонт,раздельный,?,1,1,1,1,1,1,?,?,?,1,Кирпичное здание,12,1,?,1,52,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/982103983260570881/;
"113,2","79,1",15,3/3,"3,05",1911,Петроградская,8,110000,5-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,?,1,1,1,1,?,1,Кирпичное здание,2,?,?,1,16,1,1,?,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4130626334621995502/;
77,45,16,4/5,3,1824,Невский проспект,4,105000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,?,?,1,Кирпичное здание,5,1,?,1,34,?,?,?,?,?,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665050506/;
50,?,?,4/5,3,1822,Достоевская,8,55000,квартира-студия,?,?,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,7,1,?,1,?,1,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6330279923561626493/;
45,?,?,5/5,"3,2",1830,Достоевская,2,60000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,?,?,1,1,?,1,?,1,Кирпичное здание,4,?,?,1,38,1,?,?,1,?,?,1,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4227659225487106048/;
21,15,?,2/5,4,1860,Чернышевская,10,32000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,9,1,?,1,?,?,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6861766979976977153/;
67,45,7,7/9,"2,5",1973,Приморская,3,65000,3-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,?,?,Панельное здание,10,1,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1141456631225654016/;
73,?,11,3/5,?,1916,Достоевская,8,62000,2-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,?,1,Кирпичное здание,8,1,?,1,117,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6330279923617955665/;
28,?,?,8/16,?,2013,Проспект Просвещения,7,45900,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,1,Застройщик ГК «Пионер»,1,Монолитное здание,?,1,1,?,?,?,?,?,1,?,1,1,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7325087503180345088/;
27,?,?,12/16,3,2022,Фрунзенская,4,48000,квартира-студия,Отделка — евроремонт,совмещённый,1,1,1,1,1,1,1,?,?,Застройщик Группа Аквилон,1,Кирпично-монолитное здание,?,1,1,1,?,?,?,?,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5829695172497186560/;
70,37,12,12/17,"2,8",2005,Елизаровская,7,65000,2-комнатная квартира,Отделка — евроремонт,раздельный,?,?,1,1,1,1,1,?,?,?,1,Кирпично-монолитное здание,3,1,1,1,255,?,?,?,?,?,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665167876/;
55,?,?,2/5,3,1823,Площадь Восстания,2,59000,2-комнатная квартира,Отделка — евроремонт,раздельный,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,3,?,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3093751374829447681/;
22,?,?,1/19,?,2023,Московские ворота,7,36000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,?,1,?,?,Застройщик Группа «Эталон»,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7390688605839819776/;
36,26,6,14/25,"2,75",2009,Пионерская,5,42000,1-комнатная квартира,Отделка — евроремонт,раздельный,1,?,1,1,1,1,1,?,1,?,1,Кирпичное здание,4,1,1,1,690,?,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8350610333792788737/;
55,?,8,2/5,3,1958,Парк Победы,6,60000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,5,?,?,1,75,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/2640018631074585600/;
73,40,11,3/5,?,1917,Достоевская,8,62000,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,8,1,?,1,117,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5203055392665169638/;
"33,2",?,?,1/5,"2,9",1862,Пушкинская,6,43000,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,1,?,?,1,Кирпичное здание,3,?,?,1,23,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3227794764016762112/;
24,?,?,2/5,3,1838,Спасская,4,46000,квартира-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,1,1,1,1,1,1,1,?,1,Кирпичное здание,4,?,?,1,36,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6979272010874879745/;
11,9,?,2/5,?,1912,Технологический институт,7,28700,квартира-студия,?,совмещённый,?,?,1,1,1,1,1,?,?,?,1,Кирпичное здание,?,1,?,1,?,1,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/1247379695212934144/;
14,?,?,1/5,?,?,Лиговский Проспект,5,35000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,1,1,1,?,?,1,?,1,?,?,?,3,?,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3377648334257120256/;
26,?,?,25/29,"2,7",2022,Купчино,5,40000,апартаменты-студия,?,?,?,?,?,?,?,?,?,?,?,Застройщик PLG,1,Монолитное здание,?,1,1,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3719388600695446017/;
45,30,7,1/5,"3,2",1910,Обводный канал,8,70000,2-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,?,?,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6458581900359463681/;
68,?,?,4/5,3,1899,Фрунзенская,9,47500,2-комнатная квартира,Отделка — косметический ремонт,раздельный,?,?,?,1,?,1,1,1,1,?,1,Кирпичное здание,7,?,?,1,60,1,1,?,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1349329656836455705/;
"46,1",20,13,6/16,3,2003,Фрунзенская,4,65000,1-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,1,1,1,?,?,Застройщик Группа Аквилон,1,Кирпично-монолитное здание,?,1,1,?,?,?,?,?,1,?,1,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2257758592999015936/;
52,37,10,7/7,3,1955,Парк Победы,9,85000,2-комнатная квартира,Отделка — евроремонт,совмещённый,1,?,?,?,?,?,?,?,1,?,1,Кирпичное здание,12,1,?,1,?,1,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6989123672998609283/;
50,38,?,4/6,?,?,Василеостровская,10,65000,2-комнатная квартира,Отделка — косметический ремонт,?,?,1,1,1,1,1,1,?,1,?,?,?,?,1,1,1,?,?,?,?,?,?,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6901619224235430145/;
23,19,?,10/18,"2,5",2023,Бухарестская,4,42000,апартаменты-студия,?,?,?,?,1,1,1,1,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6225526135977337464/;
28,?,?,9/27,"2,6",2023,Парнас,10,30000,квартира-студия,Отделка — евроремонт,совмещённый,?,?,1,1,1,1,1,?,1,Застройщик П1,1,Монолитное здание,?,1,?,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5048474251676450049/;
77,40,17,15/19,3,2014,Фрунзенская,9,100000,3-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,1,?,1,1,1,1,1,1,1,Застройщик Л1 cтроительная компания №1,?,?,?,1,1,?,?,?,?,?,1,?,1,1,?,?,?,?,1,?,?,1,?,1,?,?,?,?,?,?,https://realty.ya.ru/offer/3815498169895066881/;
30,16,"8,5",3/9,?,1965,Звёздная,5,30000,1-комнатная квартира,?,совмещённый,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,?,1,1,1,287,1,?,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6550407193736840449/;
50,20,20,12/14,3,2016,Фрунзенская,9,75000,2-комнатная квартира,Отделка — евроремонт,совмещённый,?,1,1,1,?,1,1,?,?,Застройщик RBI,1,Кирпично-монолитное здание,?,1,1,1,?,?,1,1,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7667178062014210578/;
50,?,?,2/9,3,2008,Елизаровская,10,76000,1-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,?,1,1,1,?,1,1,1,1,?,1,Кирпичное здание,2,1,?,1,78,?,1,?,?,?,1,?,1,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6117979128483447005/;
42,18,12,9/12,"2,9",2004,Ленинский проспект,7,40000,1-комнатная квартира,Отделка — косметический ремонт,?,?,1,1,1,1,1,1,?,1,?,1,Кирпичное здание,4,1,1,1,149,1,?,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4471907011169542716/;
19,13,?,10/18,"2,5",2023,Бухарестская,4,35000,апартаменты-студия,?,?,?,?,1,1,1,?,1,?,1,"Застройщики TMG group, ЮИТ",1,Монолитное здание,?,1,1,1,?,?,1,?,1,?,1,1,?,?,?,?,1,?,?,?,1,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5227616976259112183/;
37,18,8,6/9,"2,6",1987,Проспект Большевиков,10,26000,1-комнатная квартира,Отделка — косметический ремонт,раздельный,?,1,1,1,1,1,1,?,?,?,?,Панельное здание,8,1,1,1,287,1,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4281062136134092545/;
17,16,?,2/7,"2,7",1910,Владимирская,9,32000,квартира-студия,Отделка — косметический ремонт,совмещённый,?,?,1,1,?,?,?,?,1,?,1,Кирпичное здание,21,1,?,1,41,1,?,?,?,?,1,1,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6974119801580875264/;
68,?,?,4/4,?,1870,Маяковская,5,93000,2-комнатная квартира,Отделка — дизайнерский ремонт,совмещённый,?,1,1,1,?,1,1,1,1,?,?,Кирпичное здание,2,?,?,1,19,1,?,?,?,?,1,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4912680774111157571/;
89,50,12,5/5,"2,9",1832,Звенигородская,9,70000,2-комнатная квартира,Отделка — евроремонт,раздельный,?,1,1,1,?,1,1,?,1,?,1,Кирпичное здание,?,?,?,1,27,1,?,?,?,?,1,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7602792396610952606/;
40,20,10,7/26,3,2005,Комендантский проспект,6,45000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,1,?,1,1,1,1,1,?,1,?,1,Кирпично-монолитное здание,9,1,1,1,1174,1,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/8083172366318800128/;
