общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL,Станция метро
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,URL,0
"22,9",20,0,0.5,"2,5",2023,4,43000,0.5,0,0,0,0,1,1,1,1,1,0,1,26.0,1,5,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,https://realty.ya.ru/offer/3964570399348035097/;,Бухарестская
43,0,0,0.42857142857142855,"2,7",0,10,49000,1.0,3,2,0,1,1,1,1,1,1,0,1,17.0,1,0,37,1,1,1,741,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/7949149390550609665/;,Площадь Восстания
"51,4",35,11,0.4,5,1876,9,90000,1.0,3,2,0,1,1,1,0,1,1,0,0,0.0,1,3,1,0,0,1,16,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/8593723125087316441/;,Чернышевская
27,0,0,0.2,"3,1",1854,5,69500,0.5,2,2,0,1,1,1,0,1,1,0,1,0.0,1,3,3,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/6592327697441274885/;,Достоевская
23,21,0,0.5,"2,5",2023,4,43000,0.5,0,0,0,0,1,1,1,1,1,0,1,26.0,1,5,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,https://realty.ya.ru/offer/3964570399348958618/;,Бухарестская
54,0,0,0.3333333333333333,0,1903,4,60000,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,3,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/2630407121964110337/;,Василеостровская
70,31,20,0.2222222222222222,3,2021,9,85000,2.0,2,2,1,1,1,1,1,1,1,1,1,17.0,1,4,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/5979529042549404929/;,Елизаровская
52,30,8,0.6,"2,5",1964,8,30000,2.0,1,1,0,1,1,1,1,1,1,0,1,0.0,1,3,5,0,0,1,80,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/7773062123602438657/;,Политехническая
33,0,0,0.08333333333333333,3,2020,9,52500,1.0,2,2,1,1,1,1,0,1,1,0,1,11.0,1,4,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/1955600061620164372/;,Старая Деревня
20,16,0,0.2,3,1908,5,24000,0.5,1,2,0,1,1,1,1,1,1,0,0,0.0,1,3,3,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/5301039805253375489/;,Чернышевская
75,37,18,0.46153846153846156,"2,8",2011,9,90000,3.0,2,1,0,1,1,1,1,1,1,1,1,17.0,1,5,7,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/7798839243381490177/;,Новочеркасская
"30,3","13,9",10,0.6,0,2023,10,40000,1.0,2,2,1,1,1,1,1,1,1,0,0,11.0,1,4,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/4067135553785046728/;,Ломоносовская
